ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
85,ASUS TUF F16 FX607JU,20499000,"Processor : 13th Gen Intel® Core™ i7-13650HX Processor 2.6 GHz 24M Cache, up to 4.9 GHz, 14 cores: 6 P-cores and 8 E-cores)",16,512,5.0,100,90,80,60,89.0
86,Asus TUF Gaming A15 FA506NCG-R735B1T-HM,13499000,"AMD Ryzen 7 7445HS Processor 3.2GHz (22MB Cache, up to 4.7GHz, 6 cores, 12 Threads)",8,512,5.0,100,70,80,60,83.0
87,Asus TUF Gaming A15 FA506NCQ-R735B1T-HM,13999000,"AMD Ryzen 7 170 Processor 3.2GHz (20MB Cache, up to 4.75 GHz, 8 cores, 16 Threads)",8,512,5.0,100,70,80,60,83.0
88,Asus TUF Gaming A15 FA506NCQ-R735B6T-HM,14999000,"AMD Ryzen 7 170 Processor 3.2GHz (20MB Cache, up to 4.75 GHz, 8 cores, 16 Threads)",16,512,5.0,100,90,80,60,89.0
89,Asus TUF Gaming A15 FA507NUR,15499000,"AMD Ryzen™ 7 7435HS Mobile Processor 3.1GHz (20MB Cache, up to 4.5 GHz, 8 cores, 16 Threads)",16,512,5.0,60,90,80,60,73.0
90,Asus TUF Gaming A16 FA607NUG-R745J6M-HM,17499000,"AMD Ryzen 7 7445HS Processor 3.2GHz (22MB Cache, up to 4.7GHz, 6 cores, 12 Threads)",16,512,5.0,100,90,80,60,89.0
91,Asus TUF Gaming A16 FA608PP-R9N57G6G-HM,29499000,"AMD Ryzen 9 8940HX Processor 2.4GHz (80MB Cache, up to 5.3GHz, 16 cores, 32 Threads)",16,1000,5.0,100,90,100,60,93.0
92,Asus TUF Gaming A16 FA608UH-R7N55J6G-HM,22999000,"AMD Ryzen 7 260 Processor 3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads); AMD XDNA NPU up to 16TOPS",16,512,5.0,100,90,80,60,89.0
93,Asus TUF Gaming A16 FA608UM-R7N56J6G-HM,23999000,"AMD Ryzen 7 260 processor with 8 cores, 16 threads",16,512,5.0,100,90,80,60,89.0
94,Asus TUF Gaming F15 FX607VU-I545J6M-HM,18499000,"Intel Core 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 12 Threads)",16,512,5.0,80,90,80,60,81.0
95,Asus TUF Gaming F16 FX608JHR-I7N55J6G-HM,23999000,"Intel® Core™ i7 Processor 14650HX 2.2 GHz (30MB Cache, up to 5.2 GHz, 16 cores, 24 Threads)",16,512,5.0,100,90,80,60,89.0
96,Asus TUF Gaming F16 FX608JMR,24499000,"14th Gen Intel Core Intel Core i7 Processor 14650HX 2.2 GHz (30MB Cache, up to 5.2 GHz, 16 cores, 24 Threads)",16,1000,5.0,100,90,100,60,93.0
97,Asus Vivobook 14 A1400KA,4599000,"Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,256,7.0,60,70,60,80,65.0
98,Asus Vivobook 14 A1400KA,5149000,"Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",8,512,7.0,60,70,80,80,69.0
99,Asus Vivobook 14 A1404VA,7499000,"Intel Core i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",8,256,7.0,60,70,60,80,65.0
100,Asus Vivobook 14 A1404VA,8199000,"Intel Core i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",8,256,7.0,60,70,60,80,65.0
101,Asus Vivobook 14 A1404VA,8299000,"Intel Core i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",8,256,7.0,60,70,60,80,65.0
102,Asus Vivobook 14 A1404VA,8799000,"Intel Core i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
103,Asus Vivobook 14 A1404VA,8649000,"Intel® Core™ i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",16,5512,7.0,80,90,100,80,87.0
104,Asus Vivobook 14 A1404VA,10999000,"Intel Core i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",16,512,7.0,100,90,80,80,91.0
105,Asus Vivobook 14 A1404VA,11499000,"Intel® Core™ i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",16,1000,7.0,100,90,100,80,95.0
106,Asus Vivobook 14 A1404VA,11499000,"Intel Core i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",16,1000,7.0,100,90,100,80,95.0
107,Asus Vivobook 14 A1404VA,7149000,"Intel® Core™ i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
108,Asus Vivobook 14 A1404VA,8699000,"Intel Core i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",8,512,7.0,60,70,80,80,69.0
109,Asus Vivobook 14 A1404VA,9199000,"Intel® Core™ i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",16,512,7.0,80,90,80,80,83.0
110,Asus Vivobook 14 A1404VA,8399000,"Intel® Core™ i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",8,512,7.0,80,70,80,80,77.0
111,Asus Vivobook 14 A1404VA,10899000,"Intel Core i7-1355U Processor 1.7 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",8,512,7.0,100,70,80,80,85.0
112,Asus Vivobook 14 A1404VAP,8999000,"Intel Core 3 100U Up To 4,7Ghz 6 Core 8 Threads",8,512,7.0,60,70,80,80,69.0
113,Asus Vivobook 14 A1404VAP,10999000,Intel Core 5 Processor 120U Up To 5 Ghz 10 Core 12 Threads,8,512,7.0,80,70,80,80,77.0
114,Asus Vivobook 14 A1404VAP,10199000,"Intel Core 5 Processor 120U 1.4 GHz (12MB Cache, up to 5.0 GHz, 10 cores, 12 Threads)",8,512,7.0,80,70,80,80,77.0
115,Asus Vivobook 14 A1404VAP,14499000,"Intel Core 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 cores, 12 Threads)",16,1000,7.0,100,90,100,80,95.0
116,Asus Vivobook 14 A1404VAP,12199000,"Intel Core 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 cores, 12 Threads)",16,1000,7.0,100,90,100,80,95.0
117,Asus Vivobook 14 A1404VAP,13499000,"Intel Core 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 cores, 12 Threads)",16,512,7.0,100,90,80,80,91.0
118,Asus Vivobook 14 A1404VAP,11999000,"Intel Core 7 Processor 150U 1.8 GHz (12MB Cache, up to 5.4 GHz, 10 cores, 12 Threads)",8,512,7.0,100,70,80,80,85.0
119,Asus Vivobook 14 A1404ZA,8899000,"Intel® Core™ i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",8,512,7.0,80,70,80,80,77.0
120,Asus Vivobook 14 A1404ZA,8099000,"Intel Core i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)",16,512,7.0,80,90,80,80,83.0
121,Asus Vivobook 14 A1404ZA,8099000,"Intel® Core™ i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)",16,512,7.0,80,90,80,80,83.0
122,Asus Vivobook 14 A1404ZA,7699000,"Intel Core i5-1235U (up to 4.4 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",8,512,7.0,80,70,80,80,77.0
123,Asus Vivobook 14 A1404ZA,8299000,"Intel® Core™ i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",8,512,7.0,80,70,80,80,77.0
124,Asus Vivobook 14 A1405VA,12499000,"Intel Core i7-13620H Processor 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 cores, 16 Threads)",16,1000,7.0,100,90,100,80,95.0
125,Asus Vivobook 14 A1405VA,11199000,"Intel Core i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads)",16,512,7.0,80,90,80,80,83.0
126,Asus Vivobook 14 A1407CA,11499000,"Intel Core™ Ultra 5 225H Up To 4,9Ghz 14 Cores 14 Threads",16,512,7.0,80,90,80,80,83.0
127,Asus Vivobook 14 A1407QA Snapdragon,10499000,"Snapdragon X X1 26 100 Processor (30MB Cache, up to 2.97GHz, 8 cores, 8 Threads) Qualcomm Hexagon NPU up to 45TOPS",16,512,7.0,60,90,80,80,75.0
128,Asus Vivobook 14 A1407QA Snapdragon®,11499000,Qualcomm® Hexagon™ NPU up to 45TOPS,16,1000,7.0,60,90,100,80,79.0
129,Asus Vivobook 14 M1405YA,8399000,"AMD Ryzen™ 5 7430U Processor 2.3GHz (19MB Cache, up to 4.3GHz, 6 cores, 12 Threads)",16,512,7.0,60,90,80,80,75.0
130,Asus Vivobook 14 M1405YA,11799000,"AMD Ryzen 7 7730U Processor 2.0GHz (20MB Cache, up to 4.5 GHz, 8 cores, 16 Threads)",16,512,7.0,100,90,80,80,91.0
131,Asus Vivobook 14 M1405YA,10499000,"AMD Ryzen 7 7730U Mobile Processor (8-core/16-thread, 16MB cache, up to 4.5 GHz max boost)",16,1000,7.0,100,90,100,80,95.0
132,Asus VivoBook 14 M1407KA,10999000,"AMD Ryzen AI 5 340 Processor 2.0GHz ( 22MB Cache, up to 4.8GHz, 6 cores, 12 Threads) AMD XDNA NPU up to 50TOPS",16,512,7.0,60,90,80,80,75.0
133,Asus Vivobook 14 M1407KA-VIPS5154M,10499000,"AMD Ryzen AI 5 330 Processor 2.0GHz ( 22MB Cache, up to 4.8GHz, 6 cores, 12 Threads) AMD XDNA NPU up to 50TOPS",16,512,7.0,60,90,80,80,75.0
