ID,Nama_Laptop,Harga_Rp,Skor_Utilitas
223,Dell Pro 14 Essential (PV14255),8999000,77.0
224,HP 14 EM0018AU EM0019AU,7299000,69.0
225,HP 14 EM0167AU EM0168AU,8999000,75.0
226,HP 14 EM0222AU EM0223AU,4999000,69.0
227,HP 14 EM0320AU / EM0321AU,8499000,69.0
228,HP 14 EM0530AU/EM0531AU,9499000,77.0
229,HP 14 EM0730AU EM0731AU,11499000,91.0
230,HP 14 EP0261TU EP0260TU,8499000,69.0
231,HP 14 EP0321TU,7699000,60.0
232,HP 14 EP1188TU,10999000,83.0
233,HP 14 EP1711TU / EP1155TU,9249000,83.0
234,HP 14 Pavilion EK1094TU EK1095TU Touch X360,9799000,69.0
235,HP 14-EM0195AU / EM0196AU,5149000,69.0
236,HP 14-EP1733TU EP1177TU,8749000,77.0
237,HP 14S DQ3125TU DQ3126TU DQ3127TU,4699000,60.0
238,HP 14S DQ3133TU DQ3134TU DQ3135TU,4799000,60.0
239,HP 14S DQ3145TU DQ3146TU,4999000,69.0
240,HP 14S DQ5152TU / DQ5227TU,8049000,77.0
