ID,Nama_Laptop,Harga_Rp,CPU,RAM_GB,SSD_GB,Baterai_Jam,Skor_CPU,Skor_RAM,Skor_SSD,Skor_Baterai,Skor_Utilitas
177,MSI Katana 15 HX B14WGK 201ID,25999000,"14th Gen Intel Core i7-14650HX Up To 5,2Ghz 16 Core 24 Threads",16,512,5.0,100,90,80,60,89.0
178,MSI Modern 14 F13MG 647ID,10499000,"13th Gen Intel Core i5-1334U Up To 4,6Ghz 10 Core 12 Threads",8,512,7.0,80,70,80,80,77.0
179,MSI Modern 14 F13MG 818ID,8999000,"13th Gen Intel Core i3-1315U Up To 4,5Ghz 6 Core 8 Threads",8,512,7.0,60,70,80,80,69.0
180,MSI Modern 15 F1MG 475ID,11599000,"Intel Core 5 processor 120U 10 cores (2 P-cores + 8 E-cores), 12 threads, 12 MB Intel Smart Cache, Max Turbo Frequency 5.0 GHz",16,512,7.0,80,90,80,80,83.0
181,MSI Prestige 13 AI+ A2VMG 076ID,26999000,"Intel® Core™ Ultra 9 processor 288V with up to 48 NPU TOPS (120 total platform TOPS) 8 cores (4 P-cores + 4 E-cores), 8 threads, 12 MB Intel® Smart Cache, Max Turbo Frequency 5.1 GHz",32,1000,7.0,100,100,100,80,98.0
182,MSI Prestige Flip 14 AI+ D3MTG,34499000,"Intel Core Ultra 9 processor 386H with up to 50 NPU TOPS 16 cores (4 P-cores + 8 E-cores + 4 Low Power E-cores), 16 threads, 18MB Intel Smart Cache, Max Turbo Frequency 4.9 GHz",32,1000,7.0,100,100,100,80,98.0
183,MSI Stealth A16 MercedesAMG AI+ A3XWGG 023ID,39999000,"AMD Ryzen AI 9 HX 370 Up To 5,1Ghz 12 Core 24 Threads (80 AI TOPS)",16,1000,5.0,60,90,100,60,77.0
184,MSI Thin 15 B13UC 3448ID,14499000,"13th Gen Intel® Core™ i7-13620H 10 cores (6 P-cores + 4 E-cores), 16 threads, 24 MB Intel® Smart Cache, Max Turbo Frequency 4.9 GHz",8,512,7.0,100,70,80,80,85.0
185,MSI Thin 15 B13UC 3449ID,12999000,"13th Gen Intel Core i5-13420H processor 8 cores (4 P-cores + 4 E-cores), Max Turbo Frequency 4.6 GHz",8,512,5.0,80,70,80,60,75.0
186,MSI Thin 15 B13VE 3415ID,14999000,"13th Gen Intel Core i5-13420H processor 8 cores (4 P-cores + 4 E-cores), Max Turbo Frequency 4.6 GHz",16,512,5.0,80,90,80,60,81.0
187,MSI Thin A15 B7UC 664ID,13099000,"AMD Ryzen 7 7735HS Processor with AMD XDNA architecture, 8 cores, Max Boost Clock 4.75 GHz",8,512,5.0,100,70,80,60,83.0
188,MSI Vector 16 HX AI A2XWHG 239ID – Cosmos Gray,30999000,"Intel Core Ultra 7-255HX 1.8 – 5.2 GHz 24 cores (8 P-cores + 16 E-cores), 24 thread, 40MB cache, Max Turbo Frequency 5.4 GHz",16,512,8.5,100,90,80,100,93.0
189,MSI VenturePro AI 15 A2RWEG,17999000,"Intel® Core™ 7 200H series processor, Up to 5,2Ghz 10 Core 16 Threads",16,1000,4.5,60,90,100,60,77.0
190,Polytron Luxia,6299000,"Intel Core i3-1215U Up To 4,4Ghz 6 Core 8 Threads",8,256,7.0,60,70,60,80,65.0
191,SPC Life 5,6999000,"Intel Core i5-12450H Up To 4,4Ghz 8 Core 12 Threads",8,512,7.0,80,70,80,80,77.0
192,SPC Style 3,5099000,"AMD Ryzen 3 3200U (2 Core / 4 Thread up to 3.5 GHz Boost, 4MB L3 Cache TDP: 15W)",8,256,7.0,60,70,60,80,65.0
193,Tecno Megabook K15S,6999000,"AMD Ryzen 5 7430U Processor 2.3GHz (19MB Cache, up to 4.3GHz, 6 cores, 12 Threads)",8,512,9.5,80,70,80,100,79.0
194,Tecno Megabook T1,7999000,"AMD Ryzen 5 7430U (6C / 12T, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)",16,512,9.5,80,90,80,100,85.0
195,Tecno Megabook T14 Air,9499000,"AMD Hexa Core Ryzen 5-7535HS Up To 4,6hz 6 Core 12 Threads",16,512,6.5,80,90,80,80,83.0
196,Tecno Megabook T14 Air,9999000,"Intel Core i5-1334U Up To 4,6Ghz 10 Core 12 Threads",16,512,7.5,80,90,80,80,83.0
